Year,Team,Pace,ORtg,DRtg,NRtg,TS%,eFG%,TOV%,ORB%,FT/FGA
1982,Dallas Mavericks,98.5,105.9,110.4,-4.5,0.519,0.51,14.5,33.9,0.266
1982,Utah Jazz,103.9,106.2,111.7,-5.5,0.538,0.513,14.1,30.6,0.244
1982,San Diego Clippers,101.4,106.6,113.8,-7.2,0.547,0.529,13.9,33.2,0.28
1982,Cleveland Cavaliers,99.3,103.3,111.8,-8.5,0.51,0.515,14.7,32.0,0.271
1983,Philadelphia 76ers,102.7,108.3,100.9,7.4,0.549,0.464,15.8,37.1,0.217
1983,Los Angeles Lakers,103.8,110.5,105.2,5.3,0.561,0.494,15.5,36.3,0.191
1983,Boston Celtics,104.0,106.9,101.8,5.1,0.536,0.473,16.0,34.7,0.236
1983,Phoenix Suns,101.6,105.1,100.1,5.0,0.54,0.458,15.9,32.0,0.235
1983,Milwaukee Bucks,100.0,105.8,101.4,4.4,0.537,0.459,15.5,31.8,0.228
1983,San Antonio Spurs,103.3,110.1,106.6,3.5,0.556,0.489,14.4,35.3,0.228
1983,Seattle SuperSonics,103.2,105.9,102.8,3.1,0.539,0.464,14.3,32.5,0.21
1983,New Jersey Nets,104.0,101.6,98.9,2.7,0.532,0.481,18.9,36.8,0.251
1983,New York Knicks,97.0,102.4,99.9,2.5,0.526,0.478,18.1,31.6,0.257
1983,Portland Trail Blazers,101.0,106.0,103.9,2.1,0.535,0.49,16.0,33.3,0.218
1983,Kansas City Kings,106.6,106.2,104.9,1.3,0.542,0.49,16.8,34.3,0.291
1983,Denver Nuggets,112.1,109.7,109.1,0.6,0.55,0.509,15.1,31.0,0.22
1983,Washington Bullets,99.4,99.1,99.3,-0.2,0.511,0.471,16.2,30.4,0.214
1983,Detroit Pistons,105.8,105.4,105.8,-0.4,0.529,0.496,15.4,33.6,0.214
1983,Dallas Mavericks,102.8,109.4,109.8,-0.4,0.535,0.506,14.0,34.8,0.228
1983,Atlanta Hawks,98.9,102.2,103.2,-1.0,0.516,0.473,15.2,30.7,0.223
1983,Golden State Warriors,104.0,103.9,107.4,-3.5,0.526,0.513,16.9,33.9,0.241
1983,Utah Jazz,107.3,101.2,105.1,-3.9,0.531,0.481,15.2,29.0,0.208
1983,Chicago Bulls,106.1,103.4,108.0,-4.6,0.532,0.498,14.3,34.0,0.237
1983,San Diego Clippers,103.0,104.7,109.3,-4.6,0.518,0.531,17.6,37.1,0.284
1983,Indiana Pacers,103.9,103.8,109.4,-5.6,0.52,0.52,16.4,33.6,0.249
1983,Cleveland Cavaliers,97.6,99.2,106.8,-7.6,0.506,0.492,13.8,33.0,0.258
1983,Houston Rockets,102.2,97.0,108.3,-11.3,0.491,0.505,15.4,30.8,0.246
1984,Boston Celtics,99.7,110.9,104.4,6.5,0.554,0.475,13.8,34.2,0.225
1984,Milwaukee Bucks,96.9,107.8,103.6,4.2,0.541,0.459,14.7,33.7,0.266
1984,New York Knicks,99.0,107.0,103.1,3.9,0.552,0.491,17.8,33.4,0.281
1984,Los Angeles Lakers,103.7,110.9,107.3,3.6,0.574,0.487,14.3,33.7,0.232
1984,Portland Trail Blazers,101.1,111.2,107.7,3.5,0.556,0.518,17.0,36.4,0.259
1984,Detroit Pistons,103.8,111.5,108.1,3.4,0.532,0.5,14.8,36.7,0.263
1984,Philadelphia 76ers,99.6,106.8,104.6,2.2,0.551,0.484,16.0,34.6,0.246
1984,New Jersey Nets,103.0,106.1,105.0,1.1,0.54,0.494,17.0,34.6,0.292
1984,Utah Jazz,104.9,109.0,108.0,1.0,0.559,0.479,13.9,30.8,0.229
1984,Phoenix Suns,101.4,108.9,108.0,0.9,0.556,0.501,15.3,31.4,0.277
1984,Dallas Mavericks,99.0,110.0,109.6,0.4,0.547,0.503,14.4,31.7,0.232
1984,Seattle SuperSonics,99.7,107.9,108.1,-0.2,0.543,0.492,13.8,30.7,0.226
1984,San Antonio Spurs,106.5,111.2,111.4,-0.2,0.556,0.508,13.7,33.4,0.233
1984,Denver Nuggets,110.5,111.3,112.3,-1.0,0.553,0.522,14.6,29.3,0.277
1984,Atlanta Hawks,95.3,105.5,106.9,-1.4,0.529,0.482,15.1,31.6,0.268
1984,Kansas City Kings,102.9,106.5,108.0,-1.5,0.542,0.505,16.1,32.4,0.266
1984,Houston Rockets,104.7,105.3,108.2,-2.9,0.535,0.486,14.1,32.8,0.285
1984,Washington Bullets,97.4,104.2,107.2,-3.0,0.535,0.492,13.7,30.1,0.239
1984,San Diego Clippers,101.1,109.2,112.4,-3.2,0.541,0.513,12.9,37.7,0.236
1984,Golden State Warriors,103.3,105.5,108.8,-3.3,0.52,0.519,17.0,35.6,0.25
1984,Cleveland Cavaliers,97.4,104.1,108.5,-4.4,0.512,0.49,13.2,33.5,0.28
1984,Indiana Pacers,102.1,101.8,106.5,-4.7,0.531,0.497,16.2,28.1,0.255
1984,Chicago Bulls,99.8,102.4,107.5,-5.1,0.526,0.497,15.6,32.3,0.266
